x=-9.96094, y=0.0390625, f1=1
x=-9.96094, y=0.117188, f1=1
x=-9.88281, y=0.0390625, f1=1
x=-9.88281, y=0.117188, f1=1
x=-9.96094, y=0.195312, f1=1
x=-9.96094, y=0.273438, f1=1
x=-9.88281, y=0.195312, f1=1
x=-9.88281, y=0.273438, f1=1
x=-9.80469, y=0.0390625, f1=1
x=-9.80469, y=0.117188, f1=1
x=-9.72656, y=0.0390625, f1=1
x=-9.72656, y=0.117188, f1=1
x=-9.80469, y=0.195312, f1=1
x=-9.80469, y=0.273438, f1=1
x=-9.72656, y=0.195312, f1=1
x=-9.72656, y=0.273438, f1=1
x=-9.96094, y=0.351562, f1=1
x=-9.96094, y=0.429688, f1=1
x=-9.88281, y=0.351562, f1=1
x=-9.88281, y=0.429688, f1=1
x=-9.96094, y=0.507812, f1=1
x=-9.96094, y=0.585938, f1=1
x=-9.88281, y=0.507812, f1=1
x=-9.88281, y=0.585938, f1=1
x=-9.80469, y=0.351562, f1=1
x=-9.80469, y=0.429688, f1=1
x=-9.72656, y=0.351562, f1=1
x=-9.72656, y=0.429688, f1=1
x=-9.80469, y=0.507812, f1=1
x=-9.80469, y=0.585938, f1=1
x=-9.72656, y=0.507812, f1=1
x=-9.72656, y=0.585938, f1=1
x=-9.64844, y=0.0390625, f1=1
x=-9.64844, y=0.117188, f1=1
x=-9.57031, y=0.0390625, f1=1
x=-9.57031, y=0.117188, f1=1
x=-9.64844, y=0.195312, f1=1
x=-9.64844, y=0.273438, f1=1
x=-9.57031, y=0.195312, f1=1
x=-9.57031, y=0.273438, f1=1
x=-9.49219, y=0.0390625, f1=1
x=-9.49219, y=0.117188, f1=1
x=-9.41406, y=0.0390625, f1=1
x=-9.41406, y=0.117188, f1=1
x=-9.49219, y=0.195312, f1=1
x=-9.49219, y=0.273438, f1=1
x=-9.41406, y=0.195312, f1=1
x=-9.41406, y=0.273438, f1=1
x=-9.64844, y=0.351562, f1=1
x=-9.64844, y=0.429688, f1=1
x=-9.57031, y=0.351562, f1=1
x=-9.57031, y=0.429688, f1=1
x=-9.64844, y=0.507812, f1=1
x=-9.64844, y=0.585938, f1=1
x=-9.57031, y=0.507812, f1=1
x=-9.57031, y=0.585938, f1=1
x=-9.49219, y=0.351562, f1=1
x=-9.49219, y=0.429688, f1=1
x=-9.41406, y=0.351562, f1=1
x=-9.41406, y=0.429688, f1=1
x=-9.49219, y=0.507812, f1=1
x=-9.49219, y=0.585938, f1=1
x=-9.41406, y=0.507812, f1=1
x=-9.41406, y=0.585938, f1=1
x=-9.96094, y=0.664062, f1=1
x=-9.96094, y=0.742188, f1=1
x=-9.88281, y=0.664062, f1=1
x=-9.88281, y=0.742188, f1=1
x=-9.96094, y=0.820312, f1=1
x=-9.96094, y=0.898438, f1=1
x=-9.88281, y=0.820312, f1=1
x=-9.88281, y=0.898438, f1=1
x=-9.80469, y=0.664062, f1=1
x=-9.80469, y=0.742188, f1=1
x=-9.72656, y=0.664062, f1=1
x=-9.72656, y=0.742188, f1=1
x=-9.80469, y=0.820312, f1=1
x=-9.80469, y=0.898438, f1=1
x=-9.72656, y=0.820312, f1=1
x=-9.72656, y=0.898438, f1=1
x=-9.96094, y=0.976562, f1=1
x=-9.96094, y=1.05469, f1=1
x=-9.88281, y=0.976562, f1=1
x=-9.88281, y=1.05469, f1=1
x=-9.96094, y=1.13281, f1=1
x=-9.96094, y=1.21094, f1=1
x=-9.88281, y=1.13281, f1=1
x=-9.88281, y=1.21094, f1=1
x=-9.80469, y=0.976562, f1=1
x=-9.80469, y=1.05469, f1=1
x=-0.351562, y=17.7734, f1=1
x=-0.585938, y=17.8516, f1=1
x=-0.585938, y=17.9297, f1=1
x=-0.507812, y=17.8516, f1=1
x=-0.507812, y=17.9297, f1=1
x=-0.585938, y=18.0078, f1=1
x=-0.585938, y=18.0859, f1=1
x=-0.507812, y=18.0078, f1=1
x=-0.507812, y=18.0859, f1=1
x=-0.429688, y=17.8516, f1=1
x=-0.429688, y=17.9297, f1=1
x=-0.351562, y=17.8516, f1=1
x=-0.351562, y=17.9297, f1=1
x=-0.429688, y=18.0078, f1=1
x=-0.429688, y=18.0859, f1=1
x=-0.351562, y=18.0078, f1=1
x=-0.351562, y=18.0859, f1=1
x=-0.273438, y=17.5391, f1=1
x=-0.273438, y=17.6172, f1=1
x=-0.195312, y=17.5391, f1=1
x=-0.195312, y=17.6172, f1=1
x=-0.273438, y=17.6953, f1=1
x=-0.273438, y=17.7734, f1=1
x=-0.195312, y=17.6953, f1=1
x=-9.72656, y=0.976562, f1=1
x=-9.72656, y=1.05469, f1=1
x=-9.80469, y=1.13281, f1=1
x=-9.80469, y=1.21094, f1=1
x=-9.72656, y=1.13281, f1=1
x=-9.72656, y=1.21094, f1=1
x=-9.64844, y=0.664062, f1=1
x=-9.64844, y=0.742188, f1=1
x=-9.57031, y=0.664062, f1=1
x=-9.57031, y=0.742188, f1=1
x=-9.64844, y=0.820312, f1=1
x=-9.64844, y=0.898438, f1=1
x=-9.57031, y=0.820312, f1=1
x=-9.57031, y=0.898438, f1=1
x=-9.49219, y=0.664062, f1=1
x=-9.49219, y=0.742188, f1=1
x=-9.41406, y=0.664062, f1=1
x=-9.41406, y=0.742188, f1=1
x=-9.49219, y=0.820312, f1=1
x=-9.49219, y=0.898438, f1=1
x=-9.41406, y=0.820312, f1=1
x=-9.41406, y=0.898438, f1=1
x=-9.64844, y=0.976562, f1=1
x=-9.64844, y=1.05469, f1=1
x=-9.57031, y=0.976562, f1=1
x=-9.57031, y=1.05469, f1=1
x=-9.64844, y=1.13281, f1=1
x=-9.64844, y=1.21094, f1=1
x=-9.57031, y=1.13281, f1=1
x=-9.57031, y=1.21094, f1=1
x=-9.49219, y=0.976562, f1=1
x=-9.49219, y=1.05469, f1=1
x=-9.41406, y=0.976562, f1=1
x=-9.41406, y=1.05469, f1=1
x=-9.49219, y=1.13281, f1=1
x=-9.49219, y=1.21094, f1=1
x=-9.41406, y=1.13281, f1=1
x=-9.41406, y=1.21094, f1=1
x=-9.33594, y=0.0390625, f1=1
x=-9.33594, y=0.117188, f1=1
x=-9.25781, y=0.0390625, f1=1
x=-9.25781, y=0.117188, f1=1
x=-9.33594, y=0.195312, f1=1
x=-9.33594, y=0.273438, f1=1
x=-9.25781, y=0.195312, f1=1
x=-9.25781, y=0.273438, f1=1
x=-9.17969, y=0.0390625, f1=1
x=-9.17969, y=0.117188, f1=1
x=-9.10156, y=0.0390625, f1=1
x=-9.10156, y=0.117188, f1=1
x=-9.17969, y=0.195312, f1=1
x=-9.17969, y=0.273438, f1=1
x=-9.10156, y=0.195312, f1=1
x=-9.10156, y=0.273438, f1=1
x=-9.33594, y=0.351562, f1=1
x=-9.33594, y=0.429688, f1=1
x=-9.25781, y=0.351562, f1=1
x=-9.25781, y=0.429688, f1=1
x=-9.33594, y=0.507812, f1=1
x=-9.33594, y=0.585938, f1=1
x=-9.25781, y=0.507812, f1=1
x=-9.25781, y=0.585938, f1=1
x=-9.17969, y=0.351562, f1=1
x=-9.17969, y=0.429688, f1=1
x=-9.10156, y=0.351562, f1=1
x=-9.10156, y=0.429688, f1=1
x=-9.17969, y=0.507812, f1=1
x=-9.17969, y=0.585938, f1=1
x=-9.10156, y=0.507812, f1=1
x=-9.10156, y=0.585938, f1=1
x=-9.02344, y=0.0390625, f1=1
x=-9.02344, y=0.117188, f1=1
x=-8.94531, y=0.0390625, f1=1
x=-8.94531, y=0.117188, f1=1
x=-9.02344, y=0.195312, f1=1
x=-9.02344, y=0.273438, f1=1
x=-8.94531, y=0.195312, f1=1
x=-8.94531, y=0.273438, f1=1
x=-8.86719, y=0.0390625, f1=1
x=-8.86719, y=0.117188, f1=1
x=-8.78906, y=0.0390625, f1=1
x=-8.78906, y=0.117188, f1=1
x=-8.86719, y=0.195312, f1=1
x=-8.86719, y=0.273438, f1=1
x=-8.78906, y=0.195312, f1=1
x=-8.78906, y=0.273438, f1=1
x=-9.02344, y=0.351562, f1=1
x=-9.02344, y=0.429688, f1=1
x=-8.94531, y=0.351562, f1=1
x=-8.94531, y=0.429688, f1=1
x=-9.02344, y=0.507812, f1=1
x=-0.195312, y=17.7734, f1=1
x=-0.117188, y=17.5391, f1=1
x=-0.117188, y=17.6172, f1=1
x=-0.0390625, y=17.5391, f1=1
x=-0.0390625, y=17.6172, f1=1
x=-0.117188, y=17.6953, f1=1
x=-0.117188, y=17.7734, f1=1
x=-0.0390625, y=17.6953, f1=1
x=-0.0390625, y=17.7734, f1=1
x=-0.273438, y=17.8516, f1=1
x=-0.273438, y=17.9297, f1=1
x=-0.195312, y=17.8516, f1=1
x=-0.195312, y=17.9297, f1=1
x=-0.273438, y=18.0078, f1=1
x=-0.273438, y=18.0859, f1=1
x=-0.195312, y=18.0078, f1=1
x=-0.195312, y=18.0859, f1=1
x=-0.117188, y=17.8516, f1=1
x=-0.117188, y=17.9297, f1=1
x=-0.0390625, y=17.8516, f1=1
x=-0.0390625, y=17.9297, f1=1
x=-0.117188, y=18.0078, f1=1
x=-0.117188, y=18.0859, f1=1
x=-0.0390625, y=18.0078, f1=1
x=-0.0390625, y=18.0859, f1=1
x=-0.585938, y=18.1641, f1=1
x=-0.585938, y=18.2422, f1=1
x=-0.507812, y=18.1641, f1=1
x=-0.507812, y=18.2422, f1=1
x=-0.585938, y=18.3203, f1=1
x=-0.585938, y=18.3984, f1=1
x=-0.507812, y=18.3203, f1=1
x=-0.507812, y=18.3984, f1=1
x=-0.429688, y=18.1641, f1=1
x=-0.429688, y=18.2422, f1=1
x=-0.351562, y=18.1641, f1=1
x=-0.351562, y=18.2422, f1=1
x=-0.429688, y=18.3203, f1=1
x=-0.429688, y=18.3984, f1=1
x=-0.351562, y=18.3203, f1=1
x=-0.351562, y=18.3984, f1=1
x=-0.585938, y=18.4766, f1=1
x=-0.585938, y=18.5547, f1=1
x=-0.507812, y=18.4766, f1=1
x=-0.507812, y=18.5547, f1=1
x=-0.585938, y=18.6328, f1=1
x=-0.585938, y=18.7109, f1=1
x=-0.507812, y=18.6328, f1=1
x=-0.507812, y=18.7109, f1=1
x=-0.429688, y=18.4766, f1=1
x=-0.429688, y=18.5547, f1=1
x=-0.351562, y=18.4766, f1=1
x=-0.351562, y=18.5547, f1=1
x=-0.429688, y=18.6328, f1=1
x=-0.429688, y=18.7109, f1=1
x=-0.351562, y=18.6328, f1=1
x=-0.351562, y=18.7109, f1=1
x=-0.273438, y=18.1641, f1=1
x=-0.273438, y=18.2422, f1=1
x=-0.195312, y=18.1641, f1=1
x=-9.02344, y=0.585938, f1=1
x=-8.94531, y=0.507812, f1=1
x=-8.94531, y=0.585938, f1=1
x=-8.86719, y=0.351562, f1=1
x=-8.86719, y=0.429688, f1=1
x=-8.78906, y=0.351562, f1=1
x=-8.78906, y=0.429688, f1=1
x=-8.86719, y=0.507812, f1=1
x=-8.86719, y=0.585938, f1=1
x=-8.78906, y=0.507812, f1=1
x=-8.78906, y=0.585938, f1=1
x=-9.33594, y=0.664062, f1=1
x=-9.33594, y=0.742188, f1=1
x=-9.25781, y=0.664062, f1=1
x=-9.25781, y=0.742188, f1=1
x=-9.33594, y=0.820312, f1=1
x=-9.33594, y=0.898438, f1=1
x=-9.25781, y=0.820312, f1=1
x=-9.25781, y=0.898438, f1=1
x=-9.17969, y=0.664062, f1=1
x=-9.17969, y=0.742188, f1=1
x=-9.10156, y=0.664062, f1=1
x=-9.10156, y=0.742188, f1=1
x=-9.17969, y=0.820312, f1=1
x=-9.17969, y=0.898438, f1=1
x=-9.10156, y=0.820312, f1=1
x=-9.10156, y=0.898438, f1=1
x=-9.33594, y=0.976562, f1=1
x=-9.33594, y=1.05469, f1=1
x=-9.25781, y=0.976562, f1=1
x=-9.25781, y=1.05469, f1=1
x=-9.33594, y=1.13281, f1=1
x=-9.33594, y=1.21094, f1=1
x=-9.25781, y=1.13281, f1=1
x=-9.25781, y=1.21094, f1=1
x=-9.17969, y=0.976562, f1=1
x=-9.17969, y=1.05469, f1=1
x=-9.10156, y=0.976562, f1=1
x=-9.10156, y=1.05469, f1=1
x=-9.17969, y=1.13281, f1=1
x=-9.17969, y=1.21094, f1=1
x=-9.10156, y=1.13281, f1=1
x=-9.10156, y=1.21094, f1=1
x=-9.02344, y=0.664062, f1=1
x=-9.02344, y=0.742188, f1=1
x=-8.94531, y=0.664062, f1=1
x=-8.94531, y=0.742188, f1=1
x=-9.02344, y=0.820312, f1=1
x=-9.02344, y=0.898438, f1=1
x=-8.94531, y=0.820312, f1=1
x=-8.94531, y=0.898438, f1=1
x=-8.86719, y=0.664062, f1=1
x=-8.86719, y=0.742188, f1=1
x=-8.78906, y=0.664062, f1=1
x=-8.78906, y=0.742188, f1=1
x=-8.86719, y=0.820312, f1=1
x=-8.86719, y=0.898438, f1=1
x=-8.78906, y=0.820312, f1=1
x=-8.78906, y=0.898438, f1=1
x=-9.02344, y=0.976562, f1=1
x=-9.02344, y=1.05469, f1=1
x=-8.94531, y=0.976562, f1=1
x=-8.94531, y=1.05469, f1=1
x=-9.02344, y=1.13281, f1=1
x=-9.02344, y=1.21094, f1=1
x=-8.94531, y=1.13281, f1=1
x=-8.94531, y=1.21094, f1=1
x=-8.86719, y=0.976562, f1=1
x=-8.86719, y=1.05469, f1=1
x=-8.78906, y=0.976562, f1=1
x=-8.78906, y=1.05469, f1=1
x=-8.86719, y=1.13281, f1=1
x=-8.86719, y=1.21094, f1=1
x=-8.78906, y=1.13281, f1=1
x=-8.78906, y=1.21094, f1=1
x=-9.96094, y=1.28906, f1=1
x=-9.96094, y=1.36719, f1=1
x=-9.88281, y=1.28906, f1=1
x=-9.88281, y=1.36719, f1=1
x=-9.96094, y=1.44531, f1=1
x=-9.96094, y=1.52344, f1=1
x=-9.88281, y=1.44531, f1=1
x=-9.88281, y=1.52344, f1=1
x=-9.80469, y=1.28906, f1=1
x=-9.80469, y=1.36719, f1=1
x=-9.72656, y=1.28906, f1=1
x=-9.72656, y=1.36719, f1=1
x=-0.195312, y=18.2422, f1=1
